Time	variable	value	Season
32.2666666666667	ProcessS	NA	Dec
32.3333333333333	ProcessS	NA	Dec
32.4	ProcessS	NA	Dec
32.4666666666667	ProcessS	NA	Dec
32.5333333333333	ProcessS	NA	Dec
32.6	ProcessS	NA	Dec
32.6666666666667	ProcessS	NA	Dec
32.7333333333333	ProcessS	NA	Dec
32.8	ProcessS	NA	Dec
32.8666666666667	ProcessS	NA	Dec
32.9333333333333	ProcessS	NA	Dec
33	ProcessS	NA	Dec
33.0666666666667	ProcessS	NA	Dec
33.1333333333333	ProcessS	NA	Dec
33.2	ProcessS	NA	Dec
33.2666666666667	ProcessS	NA	Dec
33.3333333333333	ProcessS	NA	Dec
33.4	ProcessS	NA	Dec
33.4666666666667	ProcessS	NA	Dec
33.5333333333333	ProcessS	NA	Dec
33.6	ProcessS	NA	Dec
33.6666666666667	ProcessS	NA	Dec
33.7333333333333	ProcessS	NA	Dec
33.8	ProcessS	NA	Dec
33.8666666666667	ProcessS	NA	Dec
33.9333333333333	ProcessS	NA	Dec
34	ProcessS	NA	Dec
34.0666666666667	ProcessS	NA	Dec
34.1333333333333	ProcessS	NA	Dec
34.2	ProcessS	NA	Dec
34.2666666666667	ProcessS	NA	Dec
34.3333333333333	ProcessS	NA	Dec
34.4	ProcessS	NA	Dec
34.4666666666667	ProcessS	NA	Dec
34.5333333333333	ProcessS	NA	Dec
34.6	ProcessS	NA	Dec
34.6666666666667	ProcessS	NA	Dec
34.7333333333333	ProcessS	NA	Dec
34.8	ProcessS	NA	Dec
34.8666666666667	ProcessS	NA	Dec
34.9333333333333	ProcessS	NA	Dec
35	ProcessS	NA	Dec
35.0666666666667	ProcessS	NA	Dec
35.1333333333333	ProcessS	NA	Dec
35.2	ProcessS	NA	Dec
35.2666666666667	ProcessS	NA	Dec
35.3333333333333	ProcessS	NA	Dec
35.4	ProcessS	NA	Dec
35.4666666666667	ProcessS	NA	Dec
35.5333333333333	ProcessS	NA	Dec
35.6	ProcessS	NA	Dec
35.6666666666667	ProcessS	NA	Dec
35.7333333333333	ProcessS	NA	Dec
35.8	ProcessS	NA	Dec
35.8666666666667	ProcessS	NA	Dec
35.9333333333333	ProcessS	NA	Dec
36	ProcessS	NA	Dec
36.0666666666667	ProcessS	NA	Dec
36.1333333333333	ProcessS	NA	Dec
36.2	ProcessS	NA	Dec
36.2666666666667	ProcessS	NA	Dec
36.3333333333333	ProcessS	NA	Dec
36.4	ProcessS	NA	Dec
36.4666666666667	ProcessS	NA	Dec
36.5333333333333	ProcessS	NA	Dec
36.6	ProcessS	NA	Dec
36.6666666666667	ProcessS	NA	Dec
36.7333333333333	ProcessS	NA	Dec
36.8	ProcessS	NA	Dec
36.8666666666667	ProcessS	NA	Dec
36.9333333333333	ProcessS	NA	Dec
37	ProcessS	NA	Dec
37.0666666666667	ProcessS	NA	Dec
37.1333333333333	ProcessS	NA	Dec
37.2	ProcessS	NA	Dec
37.2666666666667	ProcessS	NA	Dec
37.3333333333333	ProcessS	NA	Dec
37.4	ProcessS	NA	Dec
37.4666666666667	ProcessS	NA	Dec
37.5333333333333	ProcessS	NA	Dec
37.6	ProcessS	NA	Dec
37.6666666666667	ProcessS	NA	Dec
37.7333333333333	ProcessS	NA	Dec
37.8	ProcessS	NA	Dec
37.8666666666667	ProcessS	NA	Dec
37.9333333333333	ProcessS	NA	Dec
38	ProcessS	NA	Dec
38.0666666666667	ProcessS	NA	Dec
38.1333333333333	ProcessS	NA	Dec
38.2	ProcessS	NA	Dec
38.2666666666667	ProcessS	NA	Dec
38.3333333333333	ProcessS	NA	Dec
38.4	ProcessS	NA	Dec
38.4666666666667	ProcessS	NA	Dec
38.5333333333333	ProcessS	NA	Dec
38.6	ProcessS	NA	Dec
38.6666666666667	ProcessS	NA	Dec
38.7333333333333	ProcessS	NA	Dec
